"Chave","Tipo de item","Pai","Resumo","Status","Responsável","Start date","Data de início inferida","Data limite","Data de entrega inferida","Issue color"
"REPL-1","Epic","","CS:GO / CS:2","Discovery & Refinement","","","","","","blue"
"REPL-37","Tarefa","REPL-1","[CS2 Server Infrastructure] Game Server Elastic-Scaling (GSES)","Discovery & Refinement","","","","","","purple"
"REPL-2","Epic","","EPIC: Replay API Core Development","Discovery & Refinement","psavelis","","","","","purple"
"REPL-45","Tarefa","REPL-2","[PARSER] Stats - Clutch Situation","Discovery & Refinement","psavelis","","","","","purple"
"REPL-50","Tarefa","REPL-2","[PARSER] ""KDA/ADR/DMG/ACS(?)"" Stats","Discovery & Refinement","psavelis","","","","","purple"
"REPL-59","Tarefa","REPL-2","[PARSER] Economy Stats","Ready / Prioritized","","","","","","purple"
"REPL-76","Tarefa","REPL-2","[SDK][gRPC] Stats Schema (Protobuff/Sendtables)","Ready / Prioritized","","","","","","purple"
"REPL-42","Tarefa","REPL-2","[API][Backend] Generic MongoDB Repository with Pagination and Filtering ","Concluído","psavelis","","","","","purple"
"REPL-41","Tarefa","REPL-2","[API][Backend] Routes for Data Visualization Component","Em andamento","Babu","","","","","purple"
"REPL-46","Tarefa","REPL-2","[PARSER] Positioning Stats (Player Trajectories / Placements)","Discovery & Refinement","psavelis","","","","","purple"
"REPL-47","Tarefa","REPL-2","[PARSER] RoundContext - Ticks","Discovery & Refinement","psavelis","","","","","purple"
"REPL-48","Tarefa","REPL-2","[PARSER] TeamPlay Stats (""Trade"", ""Flash/Smoke in teamplay context"")","Discovery & Refinement","psavelis","","","","","purple"
"REPL-49","Tarefa","REPL-2","[PARSER] ""KAST"" (+ Alt metrics) - Stats","Discovery & Refinement","psavelis","","","","","purple"
"REPL-51","Tarefa","REPL-2","*DUP* [PARSER] GameSense Stats","Discovery & Refinement","","","","","","purple"
"REPL-52","Tarefa","REPL-2","[PARSER] PistolRound - Stats","Discovery & Refinement","","","","","","purple"
"REPL-53","Tarefa","REPL-2","[PARSER] Aim Stats (CrosshairPlacement, Flick, RecoilControl, Tecnique, Peek, Precision)","Discovery & Refinement","","","","","","purple"
"REPL-54","Tarefa","REPL-2","[PARSER] Utility Stats","Discovery & Refinement","","","","","","purple"
"REPL-55","Tarefa","REPL-2","[PARSER] Positioning Stats","Discovery & Refinement","","","","","","purple"
"REPL-56","Tarefa","REPL-2","[PARSER] Strategy Stats","Discovery & Refinement","","","","","","purple"
"REPL-57","Tarefa","REPL-2","[PARSER] Equipment/Inventory Stats","Discovery & Refinement","","","","","","purple"
"REPL-58","Tarefa","REPL-2","[PARSER] GameSense Stats","Discovery & Refinement","","","","","","purple"
"REPL-66","Tarefa","REPL-2","[PARSER] Top Weapons/Utilities Stats","Discovery & Refinement","","","","","","purple"
"REPL-67","Tarefa","REPL-2","[VERIFIED-BADGE][TEAM-BADGE] Show Only Team Badges for Verified Teams (to prevent scam)","Discovery & Refinement","","","","","","purple"
"REPL-68","Tarefa","REPL-2","[Spike][Brainstorm] CS2QL Reimagined (CS2MatchQL)","Discovery & Refinement","psavelis","","","","","purple"
"REPL-73","Tarefa","REPL-2","[PARSER] Quadtree + CS2MatchQL - Spatial Structure Optimization","Discovery & Refinement","","","","","","purple"
"REPL-75","Tarefa","REPL-2","[PARSER] Map-Specific Player Profiles Stats","Discovery & Refinement","","","","","","purple"
"REPL-101","Tarefa","REPL-2","[PARSER] 0.00 - 10.00 Relative Score (Player & Team)","Discovery & Refinement","","","","","","purple"
"REPL-3","Epic","","EPIC: Replay Analysis Engine","Discovery & Refinement","","","","","","purple"
"REPL-4","Epic","","EPIC: User Interface & Frontend Integration","Discovery & Refinement","","","","","","purple"
"REPL-5","Epic","","EPIC: Scalability and Performance","Discovery & Refinement","","","","","","purple"
"REPL-6","Epic","","EPIC: Community Features","Discovery & Refinement","","","","","","purple"
"REPL-7","Epic","","EPIC: Esports Team Integration","Discovery & Refinement","","","","","","purple"
"REPL-8","Epic","","EPIC: Monetization Strategies","Discovery & Refinement","","","","","","purple"
"REPL-9","Epic","","EPIC: Additional Game Support [Expansion/Vertical Rollout]","Discovery & Refinement","","","","","","purple"
"REPL-10","Epic","","EPIC: Mobile App Development","Discovery & Refinement","","","","","","purple"
"REPL-11","Epic","","EPIC: Advanced Analytics and Insights","Discovery & Refinement","","","","","","purple"
"REPL-12","Epic","","EPIC: Partnerships Platform Expansion","Discovery & Refinement","","","","","","purple"
"REPL-13","Epic","","EPIC: [Extras] UX Tailoring - Personalization","Discovery & Refinement","","","","","","purple"
"REPL-14","Epic","","EPIC: Training Modules and Exercises","Discovery & Refinement","","","","","","purple"
"REPL-15","Epic","","EPIC: Social Features and Gamification","Discovery & Refinement","","","","","","purple"
"REPL-16","Epic","","EPIC: [Tunning] Performance and Optimization","Discovery & Refinement","","","","","","purple"
"REPL-17","Epic","","EPIC: Internationalization and Localization (i18n/L10n)","Discovery & Refinement","","","","","","purple"
"REPL-18","Epic","","EPIC: Data Science and Machine Learning Initiatives","Discovery & Refinement","","","","","","purple"
"REPL-19","Epic","","EPIC: Customer Support and Feedback Mechanisms","Discovery & Refinement","","","","","","purple"
"REPL-20","Epic","","EPIC: Content Creation and Curation","Discovery & Refinement","","","","","","purple"
"REPL-21","Epic","","EPIC: Performance & Rank Tracking","Discovery & Refinement","","","","","","purple"
"REPL-22","Epic","","EPIC: Global Data Privacy Compliance and Security","Discovery & Refinement","","","","","","purple"
"REPL-23","Epic","","EPIC: Multi-Tenancy Implementation (Resource Owner Strategy)","Discovery & Refinement","","","","","","purple"
"REPL-24","Epic","","EPIC: Developer Ecosystem for Global API Adoption","Discovery & Refinement","","","","","","purple"
"REPL-25","Epic","","EPIC: Infrastructure as Code (IaC) and CI/CD Pipeline Implementation","Discovery & Refinement","","","","","","purple"
"REPL-35","Tarefa","REPL-25","[IaC][Kubernetes] Set up Development Environment using TKE (TencentCloud's Kubernetes)","Discovery & Refinement","","","","","","purple"
"REPL-36","Tarefa","REPL-25","[IaC][Prometheus][Grafana] Implement Prometheus-based Observability","Discovery & Refinement","","","","","","purple"
"REPL-26","Epic","","EPIC: Developer Experience (DX) Enhancement","Discovery & Refinement","","","","","","purple"
"REPL-27","Epic","","EPIC: Advanced Application Performance Monitoring (APM) Implementation","Discovery & Refinement","","","","","","purple"
"REPL-28","Epic","","EPIC: Web3 Integration for Community and Utility","Discovery & Refinement","","","","","","purple"
"REPL-29","Epic","","EPIC: AI-Powered Virtual Coach (codenamed ""ReplayAI"")","Discovery & Refinement","","","","","","purple"
"REPL-30","Epic","","EPIC: Project Management - Jira Setup","Discovery & Refinement","","","","","","purple"
"REPL-31","Epic","","EPIC: Enhanced Transparency and Reliability with Comprehensive Status and Performance Insights","Discovery & Refinement","","","","","","purple"
"REPL-32","Epic","","EPIC: (PREMIUM CONTENT) Fan Engagement and Rewards with Leet Tokens (LGT)","Discovery & Refinement","","","","","","purple"
"REPL-33","Epic","","EPIC: (PREMIUM CONTENT) Leet Cards – Personalized Digital Collectibles","Discovery & Refinement","","","","","","purple"
"REPL-34","Tarefa","REPL-33","[ART][DESIGN] Design & Implement Leet Cards - Digital Collectibles","Discovery & Refinement","","","","","","purple"
"REPL-38","Epic","","[Testing][Load] Containerized Automated Load Testing","Discovery & Refinement","","","","","","purple"
"REPL-43","Epic","","[Search] Pro-Level Insights: Evolve LeetGaming Game Event Search","Discovery & Refinement","psavelis","","","","","dark_teal"
"REPL-62","Epic","","EPIC: Ingest Stats into ML Model (AI)","Discovery & Refinement","","","","","","dark_yellow"
"REPL-63","Epic","","EPIC: Replay Vault - CS Demo Cloud Drive/Browser (User Replay Demo File Storage/Manager) ","Discovery & Refinement","","","","","","purple"
"REPL-64","Epic","","EPIC/PROJECT: Custom Codec/VideoConverter - ""The Ultimate CS Demo Viewer"" ","Discovery & Refinement","","","","","","orange"
"REPL-65","Epic","","EPIC: Professional CS Roles (Beyond Players & Teams) [DRAFT!!]","Discovery & Refinement","","","","","","purple"
"REPL-69","Epic","","EPIC: CS2MatchQL/CS2QL R (Language & Compiler)","Discovery & Refinement","","","","","","green"
"REPL-70","Epic","","[PARSER] IN-DEPTH Performance Report (BattleLog)","Discovery & Refinement","","","","","","orange"
"REPL-71","Epic","","CS2SOURCEFilmmaker Support","Discovery & Refinement","","","","","","purple"
"REPL-74","Epic","","EPIC: User Feature - E2E Encryption (Default: Enabled, Can disable (with user confirmation))","Discovery & Refinement","","","","","","dark_yellow"
"REPL-97","Epic","","EPIC: ""Challenge"" Support (BugReport's Upstream Domain)","Discovery & Refinement","Leet Gaming","","","","","purple"
"REPL-98","Epic","","EPIC: ReplayAPI Search Engine","Em andamento","","","","","","purple"
"REPL-99","História","REPL-98","Generic Search API","Em andamento","psavelis","","","","","purple"
"REPL-103","Epic","","EPIC: Create Private Registry for Developer Environment","Discovery & Refinement","","","","","","dark_green"
"REPL-107","Epic","","EPIC: [Data] Persist Anonymized Entities","Em andamento","psavelis","","","","","dark_yellow"
"REPL-108","História","REPL-107","R/W Essential Round Metadata and computed Statistics","Em andamento","psavelis","","","","","purple"
"REPL-109","História","REPL-107","R/W Automatic Group/ResourceOwner data Collection and Cleanse from Parsing","Discovery & Refinement","","","","","","purple"
"REPL-117","Epic","","[Identity&Access][Authorization] [RID] Resource Ownership Token","Discovery & Refinement","psavelis","","","","","dark_teal"
"REPL-118","História","REPL-117","Steam AuthProvider (Nextjs Backend + ReplayAPI OpenAuth)","Concluído","psavelis","","","","","purple"
"REPL-119","História","REPL-117","Google AuthProvider (Nextjs Backend + ReplayAPI OpenAuth)","Ready / Prioritized","","","","","","purple"
"REPL-122","Epic","","EPIC: MatchMaking (Stat Matching)","Discovery & Refinement","","","","","","purple"
